Nadif Trading Company,"28Q3+WF7, Digfeer Rd",Pharmaceutical company,+252 61 5266279,https://nadif-trading-company.business.site/?utm_source=gmb&utm_medium=referral,
Horseed Pharmaceutical Company,Mohamuud Harbi Street Mogadishu,Pharmaceutical company,+252 61 5839614,,
Mucjib,W Taleex,Software company,+252 61 0688044,http://www.mucjib.com/,"info@mucjib.com, first.last@email.com"
Maalco foods Company,Digfeer Rd,Food products supplier,+252 61 4444355,https://maalcofoods.com/,Info@maalcofoods.com
Rasmi Pharmaceutical Co,"382C+RCG, Mohamud Harbi Street",Pharmaceutical company,+252 1 651786,,
DAUD PRINTING COMPANY,"28M6+3XH, Near Premier Bank W Taleex",Print shop,+252 61 9552811,,
Kilimanjaro company,382C+MG,Pharmaceutical company,+252 61 5574057,,
Intifac Enterprises,382C+MF8,Pharmaceutical company,+252 61 6334282,,
Company,"277R+896, Dharkrynley",Business administration service,+252 61 2665949,,
Absad trading company,"28X7+H64, Casapoplare Rd",Manufacturer,+252 61 4901358,,
Abraan pharmaceutical company,"27CQ+MJ9, W Jaale Siyaad",Pharmaceutical company,+252 61 5088180,http://www.abraan.com/,
Axzaab pharmaceuticals co.,"28RC+3P7, W Bakaaraha",Pharmaceutical company,,,
Wabax Water Supply Company,"372F+Q92, Afgoye-mogadishu Road",Mineral water company,+252 61 9990049,,
Asal Solutions,"28H4+JXQ, Wadada Garoonka Diyaaradaha",Software company,+252 1 852929,http://www.asalsolutions.com/,
Bayan Software Company,28X9+WPH,Software company,+252 61 9167329,,
Bilad General Trading Company,KM-4,Food broker,+252 62 7483938,,
Mogadishu Modern Medical Company,WADADA MAKA AL MUKARAMA,Pharmaceutical company,+252 61 2680008,,
NASTEEXO NALKA,"27RV+86C, Jidka Afgooye",Home automation company,+252 61 5774049,,
Anfac Construction Company,"Kaaraan ee jiirada, Waddada wadnaha isgoyska",Real Estate Builders & Construction Company,+252 61 4495637,https://anfac-construction-company.business.site/?utm_source=gmb&utm_medium=referral,
madar designer,,Software company,+252 61 4480267,https://zakimaddar.com/,
asad drug company,382C+FFR,Pharmaceutical company,+252 61 7093466,,
Abuubakar Sadiiq Pharmaceutical company,382C+R9,Pharmaceutical company,+252 61 5504447,http://www.abuubakarsadiiq.so/,
SAFARIDISH,,Food products supplier,Open 24 hours,,
Yooltech,"Via Liberia, Waaberi, District",Software company,+252 61 2424244,https://yooltech.com/,info@yooltech.com
Xaaji Gate Drug Co.,382C+GF7,Pharmaceutical company,,,
